,_id,qc_user,run_timestamp,_cls,cartridge_pass_fail,build_completion_date,build_completion_user,pressure_line_qc,rework,rework_description,dev_ncmr,entry_date,cartridge_type,membrane_lot,center_cap_lot,anolyte_tank_leak_rate,catholyte_tank_leak_rate,notes,qc_results,latest_assay_analysis_pass_fail,latest_assay_analysis_fail_reason,pn702_0013_lot,initial_x_measurement,initial_z_measurement,gap_after_alignment,size_insert_lot,pn050_319_LCLot,pre_glue_x_measurement,pre_glue_z_measurement,membrane_gap,tank_leak_rate,pressure_line_leak_rate,b_date_ts,b_date,exp_date
0,6250802806,poojan.patel,1754438661,MauriceCartridge.MauriceCESDSPlusCartridge,Pass,{'$date': 1754176440000},productionline@proteinsimple.com,0.0496,False,NONE,,{'$date': 1754165691254},6,,,,,,"[{'analysis_timestamp': 1754434963, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': [], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': '', 'run_id': 'kf2274_2025-08-05_17-04-21', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754449369, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,250802,250417JL-B,2.05,-1.99,,,,1754176440000,2025-08-02 23:14:00,2026-08-31
1,6250802809,poojan.patel,1754438707,MauriceCartridge.MauriceCESDSPlusCartridge,Pass,{'$date': 1754176620000},productionline@proteinsimple.com,0.0511,False,NONE,,{'$date': 1754165903353},6,,,,,,"[{'analysis_timestamp': 1754435082, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': [], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': '', 'run_id': 'kf1632_2025-08-05_17-05-07', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754449488, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,250802,250417JL-B,-2.13,3.26,,,,1754176620000,2025-08-02 23:17:00,2026-08-31
2,6250802804,poojan.patel,1754438718,MauriceCartridge.MauriceCESDSPlusCartridge,Pass,{'$date': 1754174940000},productionline@proteinsimple.com,0.0503,False,NA,,{'$date': 1754164362362},6,,,,,,"[{'analysis_timestamp': 1754434865, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': [], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': '', 'run_id': 'kf3045_2025-08-05_17-05-18', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754449270, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,250802,250417JL-A,-1.96,0.82,,,,1754174940000,2025-08-02 22:49:00,2026-08-31
3,6250802805,poojan.patel,1754588483,MauriceCartridge.MauriceCESDSPlusCartridge,Fail,{'$date': 1754175480000},productionline@proteinsimple.com,0.0406,False,NONE,,{'$date': 1754164716919},6,,,,,Q001,"[{'analysis_timestamp': 1754434906, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': ['HC'], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': 'Re-test', 'run_id': 'kf1583_2025-08-05_20-05-36', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754449311, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}, {'analysis_timestamp': 1754599492, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': ['HC'], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': 'Re-test', 'run_id': 'kf1583_2025-08-07_13-41-23', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754613898, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}, {'analysis_timestamp': 1754599492, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': ['HC'], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': 'Scrap', 'run_id': 'kf1583_2025-08-07_13-41-23', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754613904, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Fail,Scrap,,,,,250802,250417JL-B,2.98,-1.03,,,,1754175480000,2025-08-02 22:58:00,2026-08-31
4,6250802808,poojan.patel,1754438795,MauriceCartridge.MauriceCESDSPlusCartridge,Pass,{'$date': 1754176620000},productionline@proteinsimple.com,0.0513,False,NONE,,{'$date': 1754165860436},6,,,,,,"[{'analysis_timestamp': 1754435040, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': [], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': '', 'run_id': 'kf1850_2025-08-05_20-06-35', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754449444, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,250802,250417JL-B,3.18,2.09,,,,1754176620000,2025-08-02 23:17:00,2026-08-31
5,6250802807,poojan.patel,1754438817,MauriceCartridge.MauriceCESDSPlusCartridge,Pass,{'$date': 1754176500000},productionline@proteinsimple.com,0.0561,False,NONE,,{'$date': 1754165742717},6,,,,,,"[{'analysis_timestamp': 1754435004, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': [], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': '', 'run_id': 'kf3050_2025-08-05_20-06-57', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754449409, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,250802,241017JL-B,-2.07,4.62,,,,1754176500000,2025-08-02 23:15:00,2026-08-31
6,6250802812,poojan.patel,1754438818,MauriceCartridge.MauriceCESDSPlusCartridge,Pass,{'$date': 1754177760000},productionline@proteinsimple.com,0.0582,False,NONE,,{'$date': 1754167035171},6,,,,,,"[{'analysis_timestamp': 1754435224, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': [], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': '', 'run_id': 'kf1101_2025-08-05_20-06-58', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754449632, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,250802,250417JL-B,-2.83,4.09,,,,1754177760000,2025-08-02 23:36:00,2026-08-31
7,6250802811,poojan.patel,1754438837,MauriceCartridge.MauriceCESDSPlusCartridge,Pass,{'$date': 1754177340000},productionline@proteinsimple.com,0.0299,False,NA,,{'$date': 1754166602967},6,,,,,,"[{'analysis_timestamp': 1754435187, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': [], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': '', 'run_id': 'kf2227_2025-08-05_17-07-17', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754449592, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,250802,250417JL-A,-3.76,10.28,,,,1754177340000,2025-08-02 23:29:00,2026-08-31
8,6250802803,poojan.patel,1754438867,MauriceCartridge.MauriceCESDSPlusCartridge,Pass,{'$date': 1754174400000},productionline@proteinsimple.com,0.0276,False,,,{'$date': 1754163690454},6,,,,,,"[{'analysis_timestamp': 1754434818, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': [], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': '', 'run_id': 'kf1775_2025-08-05_20-07-47', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754449224, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,250802,250417JL-B,2.18,-0.97,,,,1754174400000,2025-08-02 22:40:00,2026-08-31
9,6250802810,poojan.patel,1754526035,MauriceCartridge.MauriceCESDSPlusCartridge,Pass,{'$date': 1754177220000},productionline@proteinsimple.com,0.0307,False,NA,,{'$date': 1754166507726},6,,,,,,"[{'analysis_timestamp': 1754435120, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': [], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': ['HC']}, 'failure_type': 'Re-test', 'run_id': 'kf3047_2025-08-05_17-08-08', 'run_status': 'Fail'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754449532, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}, {'analysis_timestamp': 1754521126, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': [], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': '', 'run_id': 'kf3045_2025-08-06_17-20-35', 'run_status': ' '}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754535532, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}, {'analysis_timestamp': 1754521126, 'analysis_user': 'turboqc/administrator', 'compassVersion': 'Unknown', 'documentType': 'maurice_pass_fail', 'runs': [{'Abs': {'Height %CV_Failures': [], 'Height (Avg)_Failures': [], 'Resolution %CV_Failures': [], 'Resolution (Avg)_Failures': [], 'Sufficient Data': {}, 'Time %CV_Failures': [], 'Time (Avg)_Failures': []}, 'failure_type': '', 'run_id': 'kf3045_2025-08-06_17-20-35', 'run_status': 'Pass'}], 'scriptVersion': 7, 'serverVersion': 'Unknown', 'specVersion': 1, 'timestamp': 1754535536, 'harvester_version': 7, 'harvester_fingerprint': 'dceb812d Mon, 11 Mar 2024 10:39:59 -0700'}]",Pass,,,,,,250802,250417JL-A,0.98,-2.01,,,,1754177220000,2025-08-02 23:27:00,2026-08-31
